idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
146  ,    ft.Full  ,       BA065  ,   LHR  ,20:30  ,  11  ,  10  ,        ,        BA064  , LHR  ,23:15  ,   B772  ,LHR, (11), (10)  
147  ,    ft.Full  ,       EK719  ,   DXB  ,14:30  ,   8  ,   8  ,        ,        EK720  , DUB  ,16:40  ,   B773  ,  DUB, (8), (8)  
148  ,    ft.Full  ,       EY641  ,   AUH  ,12:47  ,   7  ,   7  ,        ,        EY642  , AUH  ,13:40  ,   A320  ,  AUH, (7), (7)  
149  ,    ft.Full  ,       G9734  ,   SHJ  ,13:06  ,  10  ,  10  ,        ,        G9735  , SHJ  ,13:40  ,   A320  ,SHJ, (10), (10)  
150  ,    ft.Full  ,       LX294  ,   ZRH  ,18:40  ,   5  ,   5  ,        ,        LX295  , DAR  ,19:35  ,   A330  ,  DAR, (5), (5)  
151  ,    ft.Full  ,       MK534  ,   MRU  ,11:50  ,  4L  ,   4  ,        ,        MK535  , MRU  ,13:05  ,   A332  ,                 
152  ,    ft.Full  ,      QR1337  ,   DOH  ,09:30  ,   5  ,   5  ,        ,       QR1338  , DOH  ,12:35  ,   A320  ,  DOH, (5), (5)  
153  ,    ft.Full  ,      QR1339  ,   DOH  ,13:10  ,   5  ,   5  ,        ,       QR1340  , DOH  ,17:35  ,   A320  ,  DOH, (5), (5)  
154  ,    ft.Full  ,       SA184  ,   JNB  ,15:15  ,  11  ,  10  ,        ,        SA185  , JNB  ,16:05  ,   A320  ,JNB, (11), (10)  
155  ,    ft.Full  ,       SN463  ,   BRU  ,21:45  ,   5  ,   5  ,        ,        SN463  , BRU  ,22:45  ,   A332  ,  BRU, (5), (5)  
156  ,    ft.Full  ,       SV431  ,   JED  ,11:32  ,   8  ,   8  ,        ,        SV430  , JED  ,13:10  ,   A320  ,  JED, (8), (8)  
157  ,    ft.Full  ,       TK607  ,   IST  ,07:25  ,  4L  ,   4  ,        ,        TK608  , IST  ,10:35  ,   A330  ,IST, (4L;4R), (4)  
158  ,     ft.Arr  ,       CZ633  ,   CAN  ,07:00  ,  10  ,      ,        ,               , CAN  ,08:24  ,   A330  ,CAN, (19), (19)  
159  ,    ft.Park  ,              ,   CAN  ,08:30  ,  10  ,      ,        ,               , CAN  ,11:59  ,   A330  ,CAN, (19), (19)  
160  ,     ft.Dep  ,              ,   CAN  ,12:05  ,  19  ,  19  ,        ,        CZ634  , CAN  ,13:35  ,   A330  ,CAN, (19), (19)  
161  ,    ft.Full  ,       EK721  ,   DXB  ,19:00  ,   7  ,   7  ,        ,        EK722  , DUB  ,22:50  ,   B773  ,                 
162  ,     ft.Arr  ,       SA180  ,   JNB  ,22:40  ,   5  ,      ,        ,               , JNB  ,00:04  ,   A320  ,  JNB, (5), (5)  
163  ,    ft.Park  ,              ,   JNB  ,00:10  ,   5  ,      ,        ,               , JNB  ,06:54  ,   A320  ,  JNB, (5), (5)  
164  ,     ft.Dep  ,              ,   JNB  ,07:00  ,   5  ,   5  ,        ,        SA181  , JNB  ,08:30  ,   A320  ,  JNB, (5), (5)  
165  ,    ft.Full  ,      TK6510  ,   FIH  ,18:30  ,  4L  ,   4  ,        ,       TK6492  , IST  ,21:00  ,   A330  ,IST, (4L;4R), (4)  
